gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,pim,toi,commonName.default,opponentCommonName.default,opponentCommonName.fr
2021020510,CAR,R,2022-02-08,0,0,0,0,0,0,0,0,2,20,0,0,OTT,0,16:10,Hurricanes,Senators,Sénateurs
2021020527,CAR,H,2022-02-16,0,0,0,0,0,0,0,0,0,23,0,0,FLA,0,15:35,Hurricanes,Panthers,NA
2021020554,CAR,H,2021-12-30,0,1,1,0,0,1,0,0,4,22,0,0,MTL,0,17:25,Hurricanes,Canadiens,NA
2021020570,CAR,R,2022-01-01,0,1,1,0,0,0,0,0,2,19,0,0,CBJ,0,16:46,Hurricanes,Blue Jackets,NA
2021020583,CAR,R,2022-02-07,0,1,1,-1,0,0,0,0,5,25,0,0,TOR,0,19:55,Hurricanes,Maple Leafs,NA
2021020612,CAR,H,2022-01-07,0,0,0,-1,0,0,0,0,2,23,0,0,CGY,0,15:06,Hurricanes,Flames,NA
2021020617,CAR,H,2022-01-08,0,0,0,0,0,0,0,0,0,16,0,0,FLA,0,13:50,Hurricanes,Panthers,NA
2021020639,CAR,R,2022-02-21,0,1,1,2,0,0,0,0,2,22,0,0,PHI,4,14:22,Hurricanes,Flyers,NA
2021020654,CAR,H,2022-01-13,0,0,0,-2,0,0,0,0,1,17,0,0,CBJ,0,15:18,Hurricanes,Blue Jackets,NA
2021020672,CAR,H,2022-01-15,1,1,2,1,0,0,0,0,1,18,0,0,VAN,0,14:30,Hurricanes,Canucks,NA
2021020724,CAR,R,2022-01-22,0,1,1,1,0,0,0,0,2,20,0,0,NJD,0,16:09,Hurricanes,Devils,NA
2021020748,CAR,H,2022-01-25,0,0,0,0,0,0,0,0,2,23,0,0,VGK,0,17:56,Hurricanes,Golden Knights,NA
2021020758,CAR,R,2022-01-27,0,0,0,0,0,0,0,0,1,24,0,0,OTT,0,18:23,Hurricanes,Senators,Sénateurs
2021020779,CAR,H,2022-01-29,0,0,0,0,0,0,0,0,3,21,0,0,NJD,0,17:31,Hurricanes,Devils,NA
2021020787,CAR,H,2022-01-30,0,0,0,0,0,0,0,0,3,15,0,0,SJS,0,13:08,Hurricanes,Sharks,NA
2021020823,CAR,H,2022-02-25,0,1,1,1,0,0,0,0,4,18,0,0,CBJ,0,15:06,Hurricanes,Blue Jackets,NA
2021020840,CAR,H,2022-02-27,0,0,0,-1,0,0,0,0,2,14,0,0,EDM,0,10:48,Hurricanes,Oilers,NA
2021020851,CAR,R,2022-03-01,0,0,0,-1,0,0,0,0,0,17,0,0,DET,0,12:49,Hurricanes,Red Wings,NA
2021020868,CAR,R,2022-03-03,0,0,0,0,0,0,0,0,2,20,0,0,WSH,0,16:56,Hurricanes,Capitals,NA
2021020876,CAR,H,2022-03-04,0,0,0,-1,0,0,0,0,1,23,0,0,PIT,2,17:10,Hurricanes,Penguins,NA
2021020892,CAR,H,2022-03-06,1,0,1,1,0,0,1,0,3,20,0,0,SEA,0,16:23,Hurricanes,Kraken,NA
2021020923,CAR,H,2022-03-10,0,0,0,0,0,0,0,0,2,21,0,0,COL,0,15:16,Hurricanes,Avalanche,NA
2021020936,CAR,H,2022-03-12,0,0,0,0,0,0,0,0,3,21,0,0,PHI,0,15:19,Hurricanes,Flyers,NA
2021020945,CAR,R,2022-03-13,0,0,0,0,0,0,0,0,0,23,0,0,PIT,0,16:49,Hurricanes,Penguins,NA
2021020968,CAR,R,2022-03-17,0,0,0,-1,0,0,0,0,0,20,0,0,TOR,0,18:28,Hurricanes,Maple Leafs,NA
2021020978,CAR,H,2022-03-18,0,0,0,-1,0,0,0,0,1,15,0,0,WSH,0,12:40,Hurricanes,Capitals,NA
2021020996,CAR,H,2022-03-20,0,0,0,0,0,0,0,0,6,19,0,0,NYR,0,17:41,Hurricanes,Rangers,NA
2021021009,CAR,H,2022-03-22,1,0,1,-1,1,1,0,0,1,20,0,0,TBL,0,15:54,Hurricanes,Lightning,NA
2021021022,CAR,H,2022-03-24,0,0,0,1,0,0,0,0,4,22,0,0,DAL,0,17:19,Hurricanes,Stars,NA
2021021039,CAR,R,2022-03-26,1,1,2,1,0,0,0,0,2,22,1,1,STL,0,18:13,Hurricanes,Blues,NA
